season,my_mvp,actual_mvp,comparison
1996-97,"Michael Jordan","Karl Malone",-
1997-98,"Shaquille O'Neal","Michael Jordan",-
1999-00,"Shaquille O'Neal","Shaquille O'Neal",+
2000-01,"Shaquille O'Neal","Allen Iverson",-
2001-02,"Shaquille O'Neal","Tim Duncan",-
2002-03,"Tracy McGrady","Tim Duncan",-
2003-04,"Kevin Garnett","Kevin Garnett",+
2004-05,"Amar'e Stoudemire","Steve Nash",-
2005-06,"Kobe Bryant","Steve Nash",-
2006-07,"Kobe Bryant","Dirk Nowitzki",-
2007-08,"Kobe Bryant","Kobe Bryant",+
2008-09,"LeBron James","LeBron James",+
2009-10,"LeBron James","LeBron James",+
2010-11,"LeBron James","Derrick Rose",-
2011-12,"LeBron James","LeBron James",+
2012-13,"LeBron James","LeBron James",+
2013-14,"Kevin Durant","Kevin Durant",+
2014-15,"Stephen Curry","Stephen Curry",+
2015-16,"Stephen Curry","Stephen Curry",+
2016-17,"Russell Westbrook","Russell Westbrook",+
2017-18,"James Harden","James Harden",+
2018-19,"James Harden","Giannis Antetokounmpo",-
2019-20,"Giannis Antetokounmpo","Giannis Antetokounmpo",+
2020-21,"Giannis Antetokounmpo","Nikola Jokic",-
2021-22,"Giannis Antetokounmpo","Nikola Jokic",-
2022-23,"Joel Embiid","Joel Embiid",+
