player_name,season,pts_improved
"MarShon Brooks",2017-18,15.6
"Louis King",2022-23,15.5
"JaKarr Sampson",2018-19,15.3
"Khyri Thomas",2020-21,14.3
"Paul George",2015-16,14.3
"CJ McCollum",2015-16,14
"Devonte' Graham",2019-20,13.5
"RJ Hunter",2018-19,13.2
"Ndudi Ebi",2004-05,12.7
"Brandon Williams",2021-22,12.6
"Dahntay Jones",2015-16,12.4
"Skylar Mays",2022-23,12.4
Nene,2006-07,12.2
"Jeremy Lin",2011-12,12
"Zach Randolph",2003-04,11.7
"Amar'e Stoudemire",2006-07,11.7
"Jason Terry",2000-01,11.6
"Primoz Brezec",2004-05,11.4
"Tracy McGrady",2000-01,11.4
"Stephen Curry",2020-21,11.2
"Randy Livingston",1998-99,11.2
"Robert Covington",2014-15,11.2
"David West",2005-06,10.9
"Walt Lemon Jr.",2018-19,10.9
"Lauri Markkanen",2022-23,10.8
